ano,mes,estado,regiao,bioma,focos
2015,1,AC,Norte,Amazônia,307
2015,1,AM,Norte,Amazônia,436
2015,1,AP,Norte,Amazônia,387
2015,1,PA,Norte,Amazônia,358
2015,1,RO,Norte,Amazônia,258
2015,1,RR,Norte,Amazônia,258
2015,1,TO,Norte,Cerrado,237
2015,1,AL,Nordeste,Mata Atlântica,104
2015,1,BA,Nordeste,Caatinga,89
2015,1,CE,Nordeste,Caatinga,95
2015,1,MA,Nordeste,Cerrado,228
2015,1,PB,Nordeste,Caatinga,110
2015,1,PE,Nordeste,Caatinga,102
2015,1,PI,Nordeste,Caatinga,67
2015,1,RN,Nordeste,Caatinga,66
2015,1,SE,Nordeste,Caatinga,66
2015,1,GO,Centro-Oeste,Cerrado,292
2015,1,MS,Centro-Oeste,Cerrado,341
2015,1,MT,Centro-Oeste,Cerrado,320
2015,1,ES,Sudeste,Mata Atlântica,72
2015,1,MG,Sudeste,Cerrado,361
2015,1,RJ,Sudeste,Mata Atlântica,63
2015,1,SP,Sudeste,Mata Atlântica,72
2015,1,PR,Sul,Mata Atlântica,76
2015,1,RS,Sul,Pampa,81
2015,1,SC,Sul,Mata Atlântica,99
2015,2,AC,Norte,Amazônia,268
2015,2,AM,Norte,Amazônia,339
2015,2,AP,Norte,Amazônia,356
2015,2,PA,Norte,Amazônia,234
2015,2,RO,Norte,Amazônia,360
2015,2,RR,Norte,Amazônia,262
2015,2,TO,Norte,Cerrado,238
2015,2,AL,Nordeste,Mata Atlântica,109
2015,2,BA,Nordeste,Caatinga,110
2015,2,CE,Nordeste,Caatinga,101
2015,2,MA,Nordeste,Cerrado,292
2015,2,PB,Nordeste,Caatinga,61
2015,2,PE,Nordeste,Caatinga,94
2015,2,PI,Nordeste,Caatinga,80
2015,2,RN,Nordeste,Caatinga,62
2015,2,SE,Nordeste,Caatinga,83
2015,2,GO,Centro-Oeste,Cerrado,231
2015,2,MS,Centro-Oeste,Cerrado,427
2015,2,MT,Centro-Oeste,Cerrado,281
2015,2,ES,Sudeste,Mata Atlântica,93
2015,2,MG,Sudeste,Cerrado,293
2015,2,RJ,Sudeste,Mata Atlântica,85
2015,2,SP,Sudeste,Mata Atlântica,86
2015,2,PR,Sul,Mata Atlântica,66
2015,2,RS,Sul,Pampa,110
2015,2,SC,Sul,Mata Atlântica,99
2015,3,AC,Norte,Amazônia,434
2015,3,AM,Norte,Amazônia,424
2015,3,AP,Norte,Amazônia,357
2015,3,PA,Norte,Amazônia,430
2015,3,RO,Norte,Amazônia,243
2015,3,RR,Norte,Amazônia,267
2015,3,TO,Norte,Cerrado,234
2015,3,AL,Nordeste,Mata Atlântica,74
2015,3,BA,Nordeste,Caatinga,77
2015,3,CE,Nordeste,Caatinga,71
2015,3,MA,Nordeste,Cerrado,409
2015,3,PB,Nordeste,Caatinga,75
2015,3,PE,Nordeste,Caatinga,71
2015,3,PI,Nordeste,Caatinga,86
2015,3,RN,Nordeste,Caatinga,63
2015,3,SE,Nordeste,Caatinga,100
2015,3,GO,Centro-Oeste,Cerrado,240
2015,3,MS,Centro-Oeste,Cerrado,445
2015,3,MT,Centro-Oeste,Cerrado,396
2015,3,ES,Sudeste,Mata Atlântica,67
2015,3,MG,Sudeste,Cerrado,225
2015,3,RJ,Sudeste,Mata Atlântica,101
2015,3,SP,Sudeste,Mata Atlântica,95
2015,3,PR,Sul,Mata Atlântica,96
2015,3,RS,Sul,Pampa,99
2015,3,SC,Sul,Mata Atlântica,60
2015,4,AC,Norte,Amazônia,304
2015,4,AM,Norte,Amazônia,249
2015,4,AP,Norte,Amazônia,417
2015,4,PA,Norte,Amazônia,363
2015,4,RO,Norte,Amazônia,298
2015,4,RR,Norte,Amazônia,238
2015,4,TO,Norte,Cerrado,293
2015,4,AL,Nordeste,Mata Atlântica,74
2015,4,BA,Nordeste,Caatinga,96
2015,4,CE,Nordeste,Caatinga,91
2015,4,MA,Nordeste,Cerrado,422
2015,4,PB,Nordeste,Caatinga,82
2015,4,PE,Nordeste,Caatinga,62
2015,4,PI,Nordeste,Caatinga,95
2015,4,RN,Nordeste,Caatinga,98
2015,4,SE,Nordeste,Caatinga,87
2015,4,GO,Centro-Oeste,Cerrado,396
2015,4,MS,Centro-Oeste,Cerrado,334
2015,4,MT,Centro-Oeste,Cerrado,341
2015,4,ES,Sudeste,Mata Atlântica,79
2015,4,MG,Sudeste,Cerrado,229
2015,4,RJ,Sudeste,Mata Atlântica,62
2015,4,SP,Sudeste,Mata Atlântica,57
2015,4,PR,Sul,Mata Atlântica,91
2015,4,RS,Sul,Pampa,73
2015,4,SC,Sul,Mata Atlântica,84
2015,5,AC,Norte,Amazônia,427
2015,5,AM,Norte,Amazônia,279
2015,5,AP,Norte,Amazônia,315
2015,5,PA,Norte,Amazônia,393
2015,5,RO,Norte,Amazônia,275
2015,5,RR,Norte,Amazônia,241
2015,5,TO,Norte,Cerrado,288
2015,5,AL,Nordeste,Mata Atlântica,65
2015,5,BA,Nordeste,Caatinga,108
2015,5,CE,Nordeste,Caatinga,101
2015,5,MA,Nordeste,Cerrado,365
2015,5,PB,Nordeste,Caatinga,104
2015,5,PE,Nordeste,Caatinga,101
2015,5,PI,Nordeste,Caatinga,66
2015,5,RN,Nordeste,Caatinga,105
2015,5,SE,Nordeste,Caatinga,86
2015,5,GO,Centro-Oeste,Cerrado,404
2015,5,MS,Centro-Oeste,Cerrado,424
2015,5,MT,Centro-Oeste,Cerrado,295
2015,5,ES,Sudeste,Mata Atlântica,62
2015,5,MG,Sudeste,Cerrado,275
2015,5,RJ,Sudeste,Mata Atlântica,79
2015,5,SP,Sudeste,Mata Atlântica,101
2015,5,PR,Sul,Mata Atlântica,104
2015,5,RS,Sul,Pampa,56
2015,5,SC,Sul,Mata Atlântica,84
2015,6,AC,Norte,Amazônia,317
2015,6,AM,Norte,Amazônia,273
2015,6,AP,Norte,Amazônia,250
2015,6,PA,Norte,Amazônia,299
2015,6,RO,Norte,Amazônia,435
2015,6,RR,Norte,Amazônia,296
2015,6,TO,Norte,Cerrado,340
2015,6,AL,Nordeste,Mata Atlântica,95
2015,6,BA,Nordeste,Caatinga,76
2015,6,CE,Nordeste,Caatinga,110
2015,6,MA,Nordeste,Cerrado,439
2015,6,PB,Nordeste,Caatinga,70
2015,6,PE,Nordeste,Caatinga,83
2015,6,PI,Nordeste,Caatinga,72
2015,6,RN,Nordeste,Caatinga,71
2015,6,SE,Nordeste,Caatinga,58
2015,6,GO,Centro-Oeste,Cerrado,360
2015,6,MS,Centro-Oeste,Cerrado,336
2015,6,MT,Centro-Oeste,Cerrado,235
2015,6,ES,Sudeste,Mata Atlântica,71
2015,6,MG,Sudeste,Cerrado,427
2015,6,RJ,Sudeste,Mata Atlântica,69
2015,6,SP,Sudeste,Mata Atlântica,64
2015,6,PR,Sul,Mata Atlântica,83
2015,6,RS,Sul,Pampa,111
2015,6,SC,Sul,Mata Atlântica,69
2015,7,AC,Norte,Amazônia,2340
2015,7,AM,Norte,Amazônia,2466
2015,7,AP,Norte,Amazônia,1732
2015,7,PA,Norte,Amazônia,2419
2015,7,RO,Norte,Amazônia,1914
2015,7,RR,Norte,Amazônia,2285
2015,7,TO,Norte,Cerrado,2286
2015,7,AL,Nordeste,Mata Atlântica,537
2015,7,BA,Nordeste,Caatinga,381
2015,7,CE,Nordeste,Caatinga,642
2015,7,MA,Nordeste,Cerrado,1849
2015,7,PB,Nordeste,Caatinga,415
2015,7,PE,Nordeste,Caatinga,364
2015,7,PI,Nordeste,Caatinga,556
2015,7,RN,Nordeste,Caatinga,587
2015,7,SE,Nordeste,Caatinga,355
2015,7,GO,Centro-Oeste,Cerrado,2116
2015,7,MS,Centro-Oeste,Cerrado,1717
2015,7,MT,Centro-Oeste,Cerrado,2303
2015,7,ES,Sudeste,Mata Atlântica,411
2015,7,MG,Sudeste,Cerrado,2367
2015,7,RJ,Sudeste,Mata Atlântica,485
2015,7,SP,Sudeste,Mata Atlântica,677
2015,7,PR,Sul,Mata Atlântica,398
2015,7,RS,Sul,Pampa,469
2015,7,SC,Sul,Mata Atlântica,389
2015,8,AC,Norte,Amazônia,2694
2015,8,AM,Norte,Amazônia,2628
2015,8,AP,Norte,Amazônia,1761
2015,8,PA,Norte,Amazônia,2323
2015,8,RO,Norte,Amazônia,2544
2015,8,RR,Norte,Amazônia,2177
2015,8,TO,Norte,Cerrado,2141
2015,8,AL,Nordeste,Mata Atlântica,434
2015,8,BA,Nordeste,Caatinga,382
2015,8,CE,Nordeste,Caatinga,664
2015,8,MA,Nordeste,Cerrado,2660
2015,8,PB,Nordeste,Caatinga,571
2015,8,PE,Nordeste,Caatinga,468
2015,8,PI,Nordeste,Caatinga,472
2015,8,RN,Nordeste,Caatinga,604
2015,8,SE,Nordeste,Caatinga,663
2015,8,GO,Centro-Oeste,Cerrado,2641
2015,8,MS,Centro-Oeste,Cerrado,2491
2015,8,MT,Centro-Oeste,Cerrado,2298
2015,8,ES,Sudeste,Mata Atlântica,379
2015,8,MG,Sudeste,Cerrado,1626
2015,8,RJ,Sudeste,Mata Atlântica,664
2015,8,SP,Sudeste,Mata Atlântica,562
2015,8,PR,Sul,Mata Atlântica,353
2015,8,RS,Sul,Pampa,385
2015,8,SC,Sul,Mata Atlântica,582
2015,9,AC,Norte,Amazônia,1407
2015,9,AM,Norte,Amazônia,1625
2015,9,AP,Norte,Amazônia,2168
2015,9,PA,Norte,Amazônia,2368
2015,9,RO,Norte,Amazônia,2312
2015,9,RR,Norte,Amazônia,1713
2015,9,TO,Norte,Cerrado,2397
2015,9,AL,Nordeste,Mata Atlântica,433
2015,9,BA,Nordeste,Caatinga,463
2015,9,CE,Nordeste,Caatinga,611
2015,9,MA,Nordeste,Cerrado,2309
2015,9,PB,Nordeste,Caatinga,647
2015,9,PE,Nordeste,Caatinga,580
2015,9,PI,Nordeste,Caatinga,548
2015,9,RN,Nordeste,Caatinga,382
2015,9,SE,Nordeste,Caatinga,478
2015,9,GO,Centro-Oeste,Cerrado,1771
2015,9,MS,Centro-Oeste,Cerrado,1741
2015,9,MT,Centro-Oeste,Cerrado,2762
2015,9,ES,Sudeste,Mata Atlântica,487
2015,9,MG,Sudeste,Cerrado,2648
2015,9,RJ,Sudeste,Mata Atlântica,570
2015,9,SP,Sudeste,Mata Atlântica,628
2015,9,PR,Sul,Mata Atlântica,525
2015,9,RS,Sul,Pampa,551
2015,9,SC,Sul,Mata Atlântica,522
2015,10,AC,Norte,Amazônia,1673
2015,10,AM,Norte,Amazônia,2411
2015,10,AP,Norte,Amazônia,1793
2015,10,PA,Norte,Amazônia,1434
2015,10,RO,Norte,Amazônia,2303
2015,10,RR,Norte,Amazônia,1647
2015,10,TO,Norte,Cerrado,2716
2015,10,AL,Nordeste,Mata Atlântica,683
2015,10,BA,Nordeste,Caatinga,670
2015,10,CE,Nordeste,Caatinga,479
2015,10,MA,Nordeste,Cerrado,1421
2015,10,PB,Nordeste,Caatinga,674
2015,10,PE,Nordeste,Caatinga,499
2015,10,PI,Nordeste,Caatinga,688
2015,10,RN,Nordeste,Caatinga,687
2015,10,SE,Nordeste,Caatinga,648
2015,10,GO,Centro-Oeste,Cerrado,1812
2015,10,MS,Centro-Oeste,Cerrado,1939
2015,10,MT,Centro-Oeste,Cerrado,2591
2015,10,ES,Sudeste,Mata Atlântica,460
2015,10,MG,Sudeste,Cerrado,1637
2015,10,RJ,Sudeste,Mata Atlântica,544
2015,10,SP,Sudeste,Mata Atlântica,677
2015,10,PR,Sul,Mata Atlântica,593
2015,10,RS,Sul,Pampa,549
2015,10,SC,Sul,Mata Atlântica,384
2015,11,AC,Norte,Amazônia,361
2015,11,AM,Norte,Amazônia,445
2015,11,AP,Norte,Amazônia,255
2015,11,PA,Norte,Amazônia,340
2015,11,RO,Norte,Amazônia,420
2015,11,RR,Norte,Amazônia,389
2015,11,TO,Norte,Cerrado,380
2015,11,AL,Nordeste,Mata Atlântica,95
2015,11,BA,Nordeste,Caatinga,76
2015,11,CE,Nordeste,Caatinga,72
2015,11,MA,Nordeste,Cerrado,405
2015,11,PB,Nordeste,Caatinga,101
2015,11,PE,Nordeste,Caatinga,104
2015,11,PI,Nordeste,Caatinga,107
2015,11,RN,Nordeste,Caatinga,84
2015,11,SE,Nordeste,Caatinga,84
2015,11,GO,Centro-Oeste,Cerrado,402
2015,11,MS,Centro-Oeste,Cerrado,369
2015,11,MT,Centro-Oeste,Cerrado,381
2015,11,ES,Sudeste,Mata Atlântica,100
2015,11,MG,Sudeste,Cerrado,423
2015,11,RJ,Sudeste,Mata Atlântica,74
2015,11,SP,Sudeste,Mata Atlântica,77
2015,11,PR,Sul,Mata Atlântica,61
2015,11,RS,Sul,Pampa,88
2015,11,SC,Sul,Mata Atlântica,58
2015,12,AC,Norte,Amazônia,328
2015,12,AM,Norte,Amazônia,345
2015,12,AP,Norte,Amazônia,288
2015,12,PA,Norte,Amazônia,356
2015,12,RO,Norte,Amazônia,230
2015,12,RR,Norte,Amazônia,232
